"period","indexName","subIndex","priceChange","totalValue","priceChangeWeighted"
2003-11-01,"Consumer Price Index","Ammo",0.99793,5621395923.9819,-0.000048
2003-11-01,"Consumer Price Index","Commodity",0.967794,1209761929.5165,-0.000163
2003-11-01,"Consumer Price Index","Drones",1.026328,1391691867.4939,0.000153
2003-11-01,"Consumer Price Index","Implants",0.641805,24814225219.9819,-0.037262
2003-11-01,"Consumer Price Index","Skills",1.002347,40736787395.939,0.0004
2003-11-01,"Consumer Price Index","Starbase structures",1.016469,35952964596.6292,0.002482
2003-11-01,"Consumer Price Index","Tech I modules",0.994753,17243435341.1583,-0.000379
2003-11-01,"Consumer Price Index","Tech I ships",1.009651,106932379050.946,0.004326
2003-11-01,"Consumer Price Index","Tech II modules",0.130387,4628151161.8212,-0.016872
2003-11-01,"Mineral Price Index","High-End Minerals",1.054418,79317234300.7585,0.017336
2003-11-01,"Mineral Price Index","Low-End Minerals",0.997431,169647251950.154,-0.00175
2003-11-01,"Primary Producer Price Index","Ore",0.994527,24670427964.2593,-0.003873
2003-11-01,"Primary Producer Price Index","Planetary Processed Materials",0.982903,2766366472.86,-0.001356
2003-11-01,"Primary Producer Price Index","Planetary Refined Commodities",0.990954,4998295223.452,-0.001297
2003-11-01,"Primary Producer Price Index","Planetary Specialized Commodities",1.002829,2424353653.2608,0.000196
2003-11-01,"Secondary Producer Price Index","Blueprints",1.00788,40691228848.4107,0.000777
2003-11-01,"Secondary Producer Price Index","Commodity",0.993285,114310236945.958,-0.001861
2003-11-01,"Secondary Producer Price Index","Planetary Commodities",0.956725,342931274.6033,-0.000035
2003-11-01,"Secondary Producer Price Index","Planetary Refined Commodities",0.923383,13295629158.5229,-0.00247
2003-11-01,"Secondary Producer Price Index","Planetary Specialized Commodities",1.007038,243774267383.611,0.00416
2003-12-01,"Consumer Price Index","Ammo",1.092578,7424827381.0586,0.001951
2003-12-01,"Consumer Price Index","Commodity",1.037368,7701685330.7103,0.000816
2003-12-01,"Consumer Price Index","Drones",1.242502,1682642420.4096,0.001158
2003-12-01,"Consumer Price Index","Implants",1.108134,44595714645.6224,0.013687
2003-12-01,"Consumer Price Index","Skills",1.007268,38994905240.3431,0.000804
2003-12-01,"Consumer Price Index","Starbase structures",2.175668,91147570921.0352,0.304166
2003-12-01,"Consumer Price Index","Tech I modules",1.047325,19298254857.2945,0.002592
2003-12-01,"Consumer Price Index","Tech I ships",1.192526,136703865239.068,0.074705
2003-12-01,"Consumer Price Index","Tech II modules",0.609995,4755248287.4624,-0.005264
2003-12-01,"Mineral Price Index","High-End Minerals",1.368097,121452834298.542,0.160635
2003-12-01,"Mineral Price Index","Low-End Minerals",1.000136,156856662568.229,0.000076
2003-12-01,"Primary Producer Price Index","Ore",1.019023,17179154233.5501,0.005368
2003-12-01,"Primary Producer Price Index","Planetary Processed Materials",1.015225,7861485012.4708,0.001966
