"typeID","typeName","categoryID","categoryName","groupID","groupName","primaryIndex","subIndex"
53207,"Punisher Harmonious Ascension SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52915,"Ultratidal Entropic Disintegrator I",7,"Module",1986,"Precursor Weapon","N/A","N/A"
52742,"Talos Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52874,"Rapier Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53607,"Malediction Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
54166,"POS Fuel",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53960,"Vindicator Heartsurge SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53173,"Osprey Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52864,"Svipul Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52709,"Maulus Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53155,"Harpy Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53302,"Meson Exotic Plasma XL",8,"Charge",1987,"Exotic Plasma Charge","N/A","N/A"
53229,"Women's 'RubySet TorsoRig' Body Augmentation",30,"Apparel",1670,"Augmentations","N/A","N/A"
53136,"Cormorant Abyssal Firestorm SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52680,"Low-Grade Mimesis Gamma",20,"Implant",300,"Cyberimplant","N/A","N/A"
53376,"Vexor Aurora Universalis SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53144,"Talwar Abyssal Firestorm SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52730,"Vexor Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52698,"Draugur Niflhel Gildclaw SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53598,"Magnate Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52711,"Tristan Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53011,"Golem Malagrin Marshlight SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52896,"Mammoth Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53595,"Crucifier Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53532,"Catalyst Combat Crate",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
52743,"Astarte Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52875,"Loki Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53666,"Draugur Blackfire Steel SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53022,"Nergal All-Stars Casino Clash SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52907,"Zirnitra",6,"Ship",485,"Dreadnought","N/A","N/A"
53714,"High-grade Nirvana Omega",20,"Implant",300,"Cyberimplant","N/A","N/A"
52722,"Algos Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53334,"CMT-05 Filament",17,"Commodity",4041,"Jump Filaments","N/A","N/A"
53055,"Halloween Horrors Astero SKIN",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53037,"Capital Absorption Thruster Array",17,"Commodity",873,"Capital Construction Components","N/A","N/A"
53438,"Nestor Yoiul Star SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53846,"Templis Dragonaurs Log 1220107-VC47",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53709,"Mid-grade Nirvana Omega",20,"Implant",300,"Cyberimplant","N/A","N/A"
53129,"Apocalypse Abyssal Firestorm SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52763,"Occator Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53199,"Leviathan Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52885,"Tempest Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53857,"Low-grade Nirvana Epsilon",20,"Implant",300,"Cyberimplant","N/A","N/A"
53957,"Hecate Heartsurge SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53151,"Griffin Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53018,"Hel Malagrin Marshlight SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53651,"Ark Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52859,"Vigil Fleet Issue Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52786,"Mid-Grade Mimesis Beta",20,"Implant",300,"Cyberimplant","N/A","N/A"
52870,"Vagabond Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52886,"Typhoon Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52897,"Wreathe Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52750,"Kronos Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52860,"Talwar Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53335,"CPD-06 Filament",17,"Commodity",4041,"Jump Filaments","N/A","N/A"
53626,"Legion Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53162,"Kirin Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53140,"Algos Abyssal Firestorm SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52849,"Vigil Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53208,"Merlin Harmonious Ascension SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53894,"High-grade Savior Epsilon",20,"Implant",300,"Cyberimplant","N/A","N/A"
53188,"Drake Navy Issue Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53428,"Ishtar Yoiul Star SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52882,"Sleipnir Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53628,"Omen Navy Issue Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53902,"Low-grade Savior Alpha",20,"Implant",300,"Cyberimplant","N/A","N/A"
53375,"Atron Aurora Universalis SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52856,"Stiletto Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53512,"Festival HyperCore and Snowballs Crate",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53429,"Dominix Yoiul Star SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53209,"Incursus Harmonious Ascension SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52710,"Navitas Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52771,"Curse Crown and Swords SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53617,"Augoror Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53185,"Naga Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53636,"Apocalypse Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52752,"Megathron Navy Issue Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53950,"Cynabal Heartsurge SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52731,"Deimos Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53169,"Jackdaw Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53706,"Mid-grade Nirvana Delta",20,"Implant",300,"Cyberimplant","N/A","N/A"
53533,"Thrasher Combat Crate",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53132,"Coercer Abyssal Firestorm SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53333,"VXN-04 Filament",17,"Commodity",4041,"Jump Filaments","N/A","N/A"
53961,"Svipul Heartsurge SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53143,"Hurricane Abyssal Firestorm SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53839,"Low-grade Nirvana Omega",20,"Implant",300,"Cyberimplant","N/A","N/A"
52867,"Scythe Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53513,"Festival Facial Augmentation and Snowballs Crate",63,"Special Edition Assets",1194,"Special Edition Commodities","N/A","N/A"
53195,"Scorpion Navy Issue Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53314,"Ikitursa Liminal Crossings SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53174,"Cerberus Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52775,"Apocalypse Crown and Swords SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53647,"Sigil Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52782,"Providence Crown and Swords SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53366,"Harbinger Aurora Universalis SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53618,"Maller Oasis of Faith SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52790,"Mid-Grade Mimesis Omega",20,"Implant",300,"Cyberimplant","N/A","N/A"
52720,"Federation Navy Comet Inner Zone Vanguard SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52893,"Hel Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
53158,"Manticore Zento Isideko Combine SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52871,"Broadsword Snowline Bladeracer SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
52699,"Ikitursa Niflhel Gildclaw SKIN",91,"SKINs",1950,"Permanent SKIN","N/A","N/A"
