"date","isk.volume"
2005-09-01,456272786044
2005-09-02,352696196677
2005-09-03,422048114577
2005-09-04,462252257337
2005-09-05,456637659891
2005-09-06,340720807500
2005-09-07,372822497803
2005-09-08,448246413850
2005-09-09,383747439406
2005-09-10,455533565639
2005-09-11,439994522053
2005-09-12,408767424536
2005-09-13,427489238619
2005-09-14,410167403991
2005-09-15,400187003802
2005-09-16,410508508662
2005-09-17,469344841941
2005-09-18,496032080813
2005-09-19,405630217454
2005-09-20,467986567474
2005-09-21,426251015829
2005-09-22,425304145072
2005-09-23,433035673372
2005-09-24,449771025453
2005-09-25,484821700300
2005-09-26,438473382838
2005-09-27,433589966107
2005-09-28,443545320162
2005-09-29,454042391340
2005-09-30,430133559356
2005-10-01,469931359673
2005-10-02,488237765537
2005-10-03,455856621440
2005-10-04,443689928563
2005-10-05,439507506444
2005-10-06,445200294174
2005-10-07,394741497022
2005-10-08,493246739154
2005-10-09,491909731250
2005-10-10,452502959714
2005-10-11,465917030092
2005-10-12,455142770093
2005-10-13,502439943146
2005-10-14,479223415241
2005-10-15,486227329832
2005-10-16,521218965371
2005-10-17,473727281615
2005-10-18,462408982640
2005-10-19,456208476133
2005-10-20,425274540409
2005-10-21,482840942047
2005-10-22,550894992879
2005-10-23,564245291102
2005-10-24,497667035156
2005-10-25,525194163685
2005-10-26,510340499295
2005-10-27,599295178773
2005-10-28,463331568092
2005-10-29,561819471097
2005-10-30,612952835838
2005-10-31,585838624978
2005-11-01,552939645538
2005-11-02,587154263458
2005-11-03,578502802384
2005-11-04,550983749245
2005-11-05,692906628133
2005-11-06,797080254512
2005-11-07,637744847746
2005-11-08,675242434724
2005-11-09,694767649027
2005-11-10,799334755399
2005-11-11,860577866463
2005-11-12,881548284956
2005-11-13,991775891099
2005-11-14,821613390587
2005-11-15,939497137349
2005-11-16,940366273538
2005-11-17,1023914422361
2005-11-18,1063445015358
2005-11-19,1180599590391
2005-11-20,1494779245909
2005-11-21,1759414523239
2005-11-22,1659078384727
2005-11-23,1846969359197
2005-11-24,1156097426539
2005-11-25,456510405461
2005-11-26,546559966406
2005-11-27,574852912359
2005-11-28,491868638808
2005-11-29,503330438185
2005-11-30,489179205686
2005-12-01,453006692499
2005-12-02,528806107061
2005-12-03,554010379408
2005-12-04,568477025884
2005-12-05,534057326805
2005-12-06,502277609174
2005-12-07,483180328566
2005-12-08,489613675103
2005-12-09,532895223088
2005-12-10,542955379170
2005-12-11,620558991968
2005-12-12,494503403100
2005-12-13,504792176543
2005-12-14,510598147733
2005-12-15,19717751023
2005-12-16,826730550709
2005-12-17,603722581402
2005-12-18,681219226587
2005-12-19,610468313436
2005-12-20,538150989380
2005-12-21,590558698792
2005-12-22,605187217396
2005-12-23,531707072342
2005-12-24,523134921303
2005-12-25,557128606178
2005-12-26,548040836231
2005-12-27,555625303407
2005-12-28,579015947233
2005-12-29,664861187203
2005-12-30,555343691553
2005-12-31,521840651686
2006-01-01,552655781915
2006-01-02,610045182006
2006-01-03,544380402212
2006-01-04,572396193653
2006-01-05,660634641620
2006-01-06,482113913323
2006-01-07,589838082206
2006-01-08,597997654511
2006-01-09,599343535825
2006-01-10,595470731408
