"typeName","title","description","date","categoryTitle"
"Important Dates","Invasion","",2019-05-28,"Expansion"
"Important Dates","Onslaught","",2018-11-13,"Expansion"
"Important Dates","Into The Abyss","",2018-05-29,"Expansion"
"Important Dates","Lifeblood","",2017-10-24,"Expansion"
"Important Dates","Ascension","",2016-11-15,"Expansion"
"Important Dates","Citadel","",2016-04-27,"Expansion"
"Important Dates","Operation Frostline","",2015-12-08,"Expansion"
"Important Dates","Parallax","",2015-11-03,"Expansion"
"Important Dates","Vanguard","",2015-09-29,"Expansion"
"Important Dates","Galatea","",2015-08-25,"Expansion"
"Important Dates","Aegis","",2015-07-07,"Expansion"
"Important Dates","Carnyx","",2015-06-02,"Expansion"
"Important Dates","Mosaic","",2015-04-28,"Expansion"
"Important Dates","Scylla","",2015-03-24,"Expansion"
"Important Dates","Tiamat","",2015-02-17,"Expansion"
"Important Dates","Proteus","Proteus",2015-01-13,"Expansion"
"Important Dates","Rhea","",2014-12-09,"Expansion"
"Important Dates","This is EVE","Release of the This is EVE trailer.",2014-11-21,"Marketing & offers"
"Important Dates","Phoebe","",2014-11-04,"Expansion"
"Important Dates","Oceanus","",2014-09-30,"Expansion"
"Important Dates","Hyperion","Hyperion Release",2014-08-26,"Expansion"
"Important Dates","Crius","Crius expansion (also known as industry expansion)",2014-07-22,"Expansion"
"Important Dates","Kronos","",2014-06-03,"Expansion"
"Important Dates","Rubicon 1.4","",2014-04-28,"Expansion"
"Important Dates","Rubicon 1.0","",2013-11-19,"Expansion"
"Important Dates","Odyssey 1.0","",2013-06-04,"Expansion"
"Important Dates","DUST 514 out of beta","",2013-05-14,"Marketing & offers"
"Important Dates","DUST 514 open beta on TQ","The gates are open",2013-01-22,"Marketing & offers"
"Important Dates","Retribution 1.0","",2012-12-04,"Expansion"
"Important Dates","Inferno 1.0","",2012-05-22,"Expansion"
"Important Dates","Escalation","",2012-04-24,"Expansion"
"Important Dates","Crucible","",2011-11-29,"Expansion"
"Important Dates","Incarna","",2011-06-21,"Expansion"
"Important Dates","Incursion","",2010-11-30,"Expansion"
"Important Dates","Tyrannis","",2010-05-26,"Expansion"
"Important Dates","Dominion","",2009-12-01,"Expansion"
"Important Dates","Apocrypha","",2009-03-10,"Expansion"
"Important Dates","Quantum Rise","",2008-11-11,"Expansion"
"Important Dates","Empyrean Age","",2008-06-10,"Expansion"
"Important Dates","Trinity","",2007-12-05,"Expansion"
"Important Dates","Revelations II","",2007-06-19,"Expansion"
"Important Dates","Revelations","",2006-11-28,"Expansion"
"Important Dates","Red Moon Rising","",2005-12-16,"Expansion"
"Important Dates","Cold War","",2005-07-05,"Expansion"
"Important Dates","Exodus","",2004-11-24,"Expansion"
"Important Dates","Castor","",2003-12-17,"Expansion"
"Important Dates","Release","",2003-05-06,"Expansion"
