"date","keyText","value"
2017-01-31,"Agent Mission Rewards",95461751293
2017-01-31,"Bounty Prizes",1917630655674
2017-01-31,"Brokers Fee",-385791743980
2017-01-31,"Incursions Payout",262504603191
2017-01-31,"Insurance",71703472916
2017-01-31,"LP Store",-217400135000
2017-01-31,"Manufacturing",-111098066747
2017-01-31,"Transaction Tax",-337398812140
2017-02-01,"Agent Mission Rewards",91726250785
2017-02-01,"Bounty Prizes",1960699697198
2017-02-01,"Brokers Fee",-371471994910
2017-02-01,"Incursions Payout",296582831961
2017-02-01,"Insurance",90069864318
2017-02-01,"LP Store",-207458200000
2017-02-01,"Manufacturing",-106278314740
2017-02-01,"Transaction Tax",-325357479111
2017-02-02,"Agent Mission Rewards",88973984655
2017-02-02,"Bounty Prizes",1956849020987
2017-02-02,"Brokers Fee",-360545034304
2017-02-02,"Incursions Payout",221172255278
2017-02-02,"Insurance",147416897795
2017-02-02,"LP Store",-254794605000
2017-02-02,"Manufacturing",-102675885361
2017-02-02,"Transaction Tax",-319427795871
2017-02-03,"Agent Mission Rewards",90511185229
2017-02-03,"Bounty Prizes",2004304699459
2017-02-03,"Brokers Fee",-370628898907
2017-02-03,"Incursions Payout",345934257290
2017-02-03,"Insurance",83089031436
2017-02-03,"LP Store",-270994390000
2017-02-03,"Manufacturing",-111523276500
2017-02-03,"Transaction Tax",-338860088089
2017-02-04,"Agent Mission Rewards",102236610887
2017-02-04,"Bounty Prizes",2181540124939
2017-02-04,"Brokers Fee",-437085495719
2017-02-04,"Incursions Payout",525617419385
2017-02-04,"Insurance",166753793958
2017-02-04,"LP Store",-289204050000
2017-02-04,"Manufacturing",-112283609964
2017-02-04,"Transaction Tax",-411519134552
2017-02-05,"Agent Mission Rewards",107704441311
2017-02-05,"Bounty Prizes",2201787884814
2017-02-05,"Brokers Fee",-443810447307
2017-02-05,"Incursions Payout",473179838359
2017-02-05,"Insurance",214676123253
2017-02-05,"LP Store",-307098800000
2017-02-05,"Manufacturing",-130500217486
2017-02-05,"Transaction Tax",-396282475832
2017-02-06,"Agent Mission Rewards",88877049948
2017-02-06,"Bounty Prizes",2111368852134
2017-02-06,"Brokers Fee",-396483923728
2017-02-06,"Incursions Payout",483535827027
2017-02-06,"Insurance",59393108694
2017-02-06,"LP Store",-228690475000
2017-02-06,"Manufacturing",-111775535176
2017-02-06,"Transaction Tax",-327519654982
2017-02-07,"Agent Mission Rewards",87465454257
2017-02-07,"Bounty Prizes",2090730760567
2017-02-07,"Brokers Fee",-386356105902
2017-02-07,"Incursions Payout",423373929369
2017-02-07,"Insurance",111939251207
2017-02-07,"LP Store",-262123165000
2017-02-07,"Manufacturing",-113584557821
2017-02-07,"Transaction Tax",-324536698141
2017-02-08,"Agent Mission Rewards",89495133237
2017-02-08,"Bounty Prizes",2099519070685
2017-02-08,"Brokers Fee",-362425159833
2017-02-08,"Incursions Payout",302191531213
2017-02-08,"Insurance",100187709425
2017-02-08,"LP Store",-232634140000
2017-02-08,"Manufacturing",-110196695189
2017-02-08,"Transaction Tax",-344007892298
2017-02-09,"Agent Mission Rewards",87676423390
2017-02-09,"Bounty Prizes",2116612377447
2017-02-09,"Brokers Fee",-377082659455
2017-02-09,"Incursions Payout",268518395020
2017-02-09,"Insurance",94360951948
2017-02-09,"LP Store",-288291110000
2017-02-09,"Manufacturing",-109307224945
2017-02-09,"Transaction Tax",-318675813194
2017-02-10,"Agent Mission Rewards",87129064506
2017-02-10,"Bounty Prizes",2123456798113
2017-02-10,"Brokers Fee",-403612733643
2017-02-10,"Incursions Payout",308129707216
2017-02-10,"Insurance",116307831829
2017-02-10,"LP Store",-256088525000
2017-02-10,"Manufacturing",-118072964995
2017-02-10,"Transaction Tax",-340207494862
2017-02-11,"Agent Mission Rewards",104495511669
2017-02-11,"Bounty Prizes",2348746586163
2017-02-11,"Brokers Fee",-448179713415
2017-02-11,"Incursions Payout",538587822540
2017-02-11,"Insurance",156648442189
2017-02-11,"LP Store",-286374275000
2017-02-11,"Manufacturing",-135161850950
2017-02-11,"Transaction Tax",-386610560200
2017-02-12,"Agent Mission Rewards",110827350325
2017-02-12,"Bounty Prizes",2435405611986
2017-02-12,"Brokers Fee",-463326291563
2017-02-12,"Incursions Payout",495613315651
2017-02-12,"Insurance",158371831173
2017-02-12,"LP Store",-302471600000
2017-02-12,"Manufacturing",-115442014699
2017-02-12,"Transaction Tax",-402613817079
2017-02-13,"Agent Mission Rewards",95305455814
2017-02-13,"Bounty Prizes",2182759272034
2017-02-13,"Brokers Fee",-413589552622
2017-02-13,"Incursions Payout",343873350010
2017-02-13,"Insurance",107631024470
2017-02-13,"LP Store",-250798775000
2017-02-13,"Manufacturing",-115766851040
2017-02-13,"Transaction Tax",-350133399920
2017-02-14,"Agent Mission Rewards",77215759007
2017-02-14,"Bounty Prizes",1949250313571
2017-02-14,"Brokers Fee",-370381451607
2017-02-14,"Incursions Payout",213589843349
2017-02-14,"Insurance",51448934857
2017-02-14,"LP Store",-291635380000
2017-02-14,"Manufacturing",-52320332955
2017-02-14,"Transaction Tax",-307709090655
2017-02-15,"Agent Mission Rewards",84828065693
2017-02-15,"Bounty Prizes",2198151886975
2017-02-15,"Brokers Fee",-423572563599
2017-02-15,"Incursions Payout",305604904888
2017-02-15,"Insurance",80985694576
2017-02-15,"LP Store",-227084950000
2017-02-15,"Manufacturing",-65310950321
2017-02-15,"Transaction Tax",-366394451688
2017-02-16,"Agent Mission Rewards",87803792510
2017-02-16,"Bounty Prizes",2197207317185
2017-02-16,"Brokers Fee",-394256786734
2017-02-16,"Incursions Payout",333110634061
2017-02-16,"Insurance",84725198408
2017-02-16,"LP Store",-288304975000
2017-02-16,"Manufacturing",-122806800461
2017-02-16,"Transaction Tax",-370096197229
2017-02-17,"Agent Mission Rewards",92757454270
2017-02-17,"Bounty Prizes",2212523157502
2017-02-17,"Brokers Fee",-428952971496
2017-02-17,"Incursions Payout",345866691651
2017-02-17,"Insurance",68096047085
2017-02-17,"LP Store",-312505345000
2017-02-17,"Manufacturing",-106519777540
2017-02-17,"Transaction Tax",-382208900524
2017-02-18,"Agent Mission Rewards",104221190718
2017-02-18,"Bounty Prizes",2403345148560
2017-02-18,"Brokers Fee",-473497480613
2017-02-18,"Incursions Payout",401074570494
2017-02-18,"Insurance",224995664725
2017-02-18,"LP Store",-266162625000
2017-02-18,"Manufacturing",-128873959334
2017-02-18,"Transaction Tax",-413838367361
2017-02-19,"Agent Mission Rewards",109038299183
2017-02-19,"Bounty Prizes",2504165777497
2017-02-19,"Brokers Fee",-488389734661
2017-02-19,"Incursions Payout",361846443379
2017-02-19,"Insurance",107018936191
2017-02-19,"LP Store",-306810445000
2017-02-19,"Manufacturing",-137283023640
2017-02-19,"Transaction Tax",-399417112201
2017-02-20,"Agent Mission Rewards",95454443561
2017-02-20,"Bounty Prizes",2355532778478
2017-02-20,"Brokers Fee",-412663544919
2017-02-20,"Incursions Payout",412052725215
2017-02-20,"Insurance",96571929451
2017-02-20,"LP Store",-227076650000
2017-02-20,"Manufacturing",-124283100995
2017-02-20,"Transaction Tax",-345290427787
2017-02-21,"Agent Mission Rewards",94144909843
2017-02-21,"Bounty Prizes",2271629421174
2017-02-21,"Brokers Fee",-389659900554
2017-02-21,"Incursions Payout",380995973051
2017-02-21,"Insurance",131330369075
2017-02-21,"LP Store",-260807025000
2017-02-21,"Manufacturing",-117994152768
2017-02-21,"Transaction Tax",-325479297512
2017-02-22,"Agent Mission Rewards",94480602406
2017-02-22,"Bounty Prizes",2137785757862
2017-02-22,"Brokers Fee",-403416766845
2017-02-22,"Incursions Payout",249079790322
2017-02-22,"Insurance",168806535816
2017-02-22,"LP Store",-380648730000
2017-02-22,"Manufacturing",-106698231485
2017-02-22,"Transaction Tax",-329608516081
2017-02-23,"Agent Mission Rewards",89284602733
2017-02-23,"Bounty Prizes",2232399069244
2017-02-23,"Brokers Fee",-398041175875
2017-02-23,"Incursions Payout",244493018939
2017-02-23,"Insurance",259069144549
2017-02-23,"LP Store",-234751675000
2017-02-23,"Manufacturing",-124266933531
2017-02-23,"Transaction Tax",-344756945655
2017-02-24,"Agent Mission Rewards",95565834170
2017-02-24,"Bounty Prizes",2256279619878
2017-02-24,"Brokers Fee",-380554192736
2017-02-24,"Incursions Payout",402090781634
2017-02-24,"Insurance",219760558617
2017-02-24,"LP Store",-246450340000
2017-02-24,"Manufacturing",-116638623141
2017-02-24,"Transaction Tax",-344585965354
2017-02-25,"Agent Mission Rewards",101525602557
2017-02-25,"Bounty Prizes",2284502766657
2017-02-25,"Brokers Fee",-378720440587
2017-02-25,"Incursions Payout",578056335949
2017-02-25,"Insurance",409840834843
2017-02-25,"LP Store",-212007165000
2017-02-25,"Manufacturing",-98183895872
2017-02-25,"Transaction Tax",-378356241868
2017-02-26,"Agent Mission Rewards",103663812099
2017-02-26,"Bounty Prizes",2389064093102
2017-02-26,"Brokers Fee",-417775615447
2017-02-26,"Incursions Payout",458492058364
2017-02-26,"Insurance",167627618629
2017-02-26,"LP Store",-210382450000
2017-02-26,"Manufacturing",-100409578488
2017-02-26,"Transaction Tax",-366699946991
2017-02-27,"Agent Mission Rewards",92452755327
2017-02-27,"Bounty Prizes",2233849112834
2017-02-27,"Brokers Fee",-401687763370
2017-02-27,"Incursions Payout",241161762652
2017-02-27,"Insurance",99667515543
2017-02-27,"LP Store",-278084200000
2017-02-27,"Manufacturing",-121208801241
2017-02-27,"Transaction Tax",-333462616619
2017-02-28,"Agent Mission Rewards",89189478985
2017-02-28,"Bounty Prizes",2245763877192
2017-02-28,"Brokers Fee",-482403055821
2017-02-28,"Incursions Payout",314617243883
2017-02-28,"Insurance",48026059439
2017-02-28,"LP Store",-296605210000
